The authors that the critics did not recommend have ever received acknowledgment for a best-selling novel.
The soldiers that the diplomats did not support have ever shown bravery in the controversial war.
The ambassadors that the diplomats did not consult have ever seen brutality in the foreign war.
The professors that the students did not respect have ever wanted negativity in a class debate.
The customers that the salesmen did not asssit have ever expressed optimism for a full refund.
The comments that the politicians did not ignore have ever caused bitterness toward the liberal newspapers.
The detergents that the housewives did not use have ever caused damage to the delicate clothing.
The lawyers that the businessmen did not respect have ever received criticism for a bad trial.
The students that the teachers did not punish have ever expected friendliness from the strict principal.
The babysitters that the children did not obey have ever expected gratitude from the disappointed parents.
The actors that the fans did not recognize have ever experienced soreness after a dangerous stunt.
The teachers that the parents did not recommend have ever caused problems for the new students.
The students that the librarians did not help have ever made progress on the difficult assignment.
The nurses that the doctors did not appreciate have ever shown patience in the operating room.
The criminals that the policemen did not catch have ever felt satisfaction from a petty crime.
The employees that the managers did not recommend have ever wanted kindness from the rude customers.
The accountants that the managers did not trust have ever seen rises in the quarterly profits.
The candidates that the voters did not support have ever shown friendliness to the rude journalists.
The surgeons that the patients did not trust have ever seen appreciation from the hospital staff.
The suspects that the witnesses did not identify have ever shown nervousness in the court room.
The actresses that the housewives did not admire have ever caused excitement at a film festival.
The ambassadors that the government did not consult have ever received hostility from the liberal media.
The politicians that the journalists did not endorse have ever earned trust from the rural communities.
The teenagers that the parents did not trust have ever expressed kindness to a younger sibling.
The survivors that the medics did not treat have ever felt courage during the extreme emergency.
The players that the coaches did not draft have ever felt nervousness before a championship game.
The dictators that the citizens did not trust have ever caused chaos at a public event.
The professors that the students did not understand have ever experienced tiredness after a long lecture.
The actors that the judges did not nominate have ever had luck at the award ceremonies.
The actresses that the directors did not audition have ever shown elegance on a large stage.
The champions that the competitors did not defeat have ever shown humility after a big game.
The paintings that the collectors did not like have ever depicted tranquility with very bright colors.
The editors that the journalists did not respect have ever had patience for a missed deadline.
The teenagers that the teachers did not motivate have ever experienced loneliness in the large class.
The students that the professors did not tutor have ever had trouble in a math class.
The movies that the children did not watch have ever depicted gore during a fight scene.
