No authors that the critics have recommended in their reviews have ever received acknowledgment for a best-selling novel,11,0
No soldiers that the diplomats have supported in the trial have ever shown respect to the war victims,11,0
No ambassadors that the diplomats have consulted about the treaty have ever seen brutality in the foreign war,11,0
No professors that the students have challenged over low grades have ever wanted negativity in a class debate,11,0
No customers that the salesmen have assisted in the outlet have ever expressed optimism for a full refund,11,0
No diplomats that the politicians have informed of recent policies have ever caused controversy in the liberal newspapers,11,0
No maids that the housewives have thanked for their work have ever caused damage to the delicate clothing,11,0
No lawyers that the businessmen have hired for legal advice have ever received criticism for lost fraud trials,11,0
No students that the teachers have punished for bad behavior have ever expected friendliness from the strict principal,11,0
No babysitters that the children have disobeyed during an outing have ever expected gratitude from the disappointed parents,11,0
No actors that the producers have solicited for their films have ever experienced injuries from a dangerous stunt,11,0
No teachers that the parents have commended in PTA meetings have ever caused problems with the school administrators,11,0
No students that the librarians have helped with book reports have ever made progress on the difficult assignment,11,0
No nurses that the doctors have requested for the surgery have ever shown clumsiness in the operating room,11,0
No criminals that the policemen have caught in drug raids have ever felt satisfaction from a petty crime,11,0
No employees that the managers have recommended for a raise have ever expressed frustration with the rude customers,11,0
No accountants that the managers have blamed for company losses have ever seen rises in the quarterly profits,11,0
No candidates that the voters have supported during the election have ever shown friendliness to the rude journalists,11,0
No surgeons that the patients have consulted about the operation have ever expressed dissatisfaction with the hospital staff,11,0
No suspects that the witnesses have identified in photo line-ups have ever shown nervousness in the court room,11,0
No actresses that the moviegoers have praised for their performance have ever caused excitement at a film festival,11,0
No senators that the billionaires have supported with campaign donations have ever received hostility from online news media,11,0
No politicians that the journalists have endorsed in the media have ever earned trust from the rural communities,11,0
No teenagers that the parents have trusted with a car have ever expressed impatience with their rambunctious siblings,11,0
No survivors that the medics have cured of their injuries have ever felt regret for their military service,11,0
No players that the coaches have drafted for the team have ever felt nervousness before a championship game,11,0
No voters that the senators have courted at campaign rallies have ever caused controversy in a major election,11,0
No professors that the students have visited during office hours have ever experienced tiredness after a long lecture,11,0
No actors that the judges have nominated for an award have ever experienced derision from the tabloid gossip,11,0
No actresses that the directors have auditioned for the role have ever shown nervousness on a large stage,11,0
No champions that the competitors have defeated in important races have ever shown humility after a big win,11,0
No painters that the collectors have favored at prestigious exhibitions have ever depicted tranquility with very bright colors,11,0
No editors that the journalists have insulted in stressful meetings have ever had patience for a missed deadline,11,0
No teenagers that the teachers have scolded for their chattiness have ever experienced loneliness in the large class,11,0
No students that the professors have tutored on the weekends have ever had trouble in a math class,11,0
No actors that the children have seen in family films have ever shown gore during a fight scene,11,0
The authors that the critics recommended have not ever received acknowledgment for a best-selling novel.,8,7
The soldiers that the diplomats supported have not ever shown bravery in the controversial war.,8,7
The ambassadors that the diplomats consulted have not ever seen brutality in the foreign war.,8,7
The professors that the students respected have not ever wanted negativity in a class debate.,8,7
The customers that the salesmen assisted have not ever expressed optimism for a full refund.,8,7
The comments that the politicians ignored have not ever caused bitterness toward the liberal newspapers.,8,7
The detergents that the housewives used have not ever caused damage to the delicate clothing.,8,7
The lawyers that the businessmen respected have not ever received criticism for a bad trial.,8,7
The students that the teachers punished have not ever expected friendliness from the strict principal.,8,7
 The babysitters that the children obeyed have not ever expected gratitude from the disappointed parents.,8,7
 The actors that the fans recognized have not ever experienced soreness after a dangerous stunt.,8,7
 The teachers that the parents recommended have not ever caused problems for the new students.,8,7
 The students that the librarians helped have not ever made progress on the difficult assignment.,8,7
 The nurses that the doctors appreciated have not ever shown patience in the operating room.,8,7
 The criminals that the policemen caught have not ever felt satisfaction from a petty crime.,8,7
 The employees that the managers recommended have not ever wanted kindness from the rude customers.,8,7
 The accountants that the managers trusted have not ever seen rises in the quarterly profits.,8,7
 The candidates that the voters supported have not ever shown friendliness to the rude journalists.,8,7
 The surgeons that the patients trusted have not ever seen appreciation from the hospital staff.,8,7
 The suspects that the witnesses identified have not ever shown nervousness in the court room.,8,7
 The actresses that the housewives admired have not ever caused excitement at a film festival.,8,7
 The ambassadors that the government consulted have not ever received hostility from the liberal media.,8,7
 The politicians that the journalists endorsed have not ever earned trust from the rural communities.,8,7
 The teenagers that the parents trusted have not ever expressed kindness to a younger sibling.,8,7
 The survivors that the medics treated have not ever felt courage during the extreme emergency.,8,7
 The players that the coaches drafted have not ever felt nervousness before a championship game.,8,7
 The dictators that the citizens trusted have not ever caused chaos at a public event.,8,7
 The professors that the students understood have not ever experienced tiredness after a long lecture.,8,7
 The actors that the judges nominated have not ever had luck at the award ceremonies.,8,7
 The actresses that the directors auditioned have not ever shown elegance on a large stage.,8,7
 The champions that the competitors defeated have not ever shown humility after a big game.,8,7
 The paintings that the collectors liked have not ever depicted tranquility with very bright colors.,8,7
 The editors that the journalists respected have not ever had patience for a missed deadline.,8,7
 The teenagers that the teachers motivated have not ever experienced loneliness in the large class.,8,7
 The students that the professors tutored have not ever had trouble in a math class.,8,7
 The movies that the children watched have not ever depicted gore during a fight scene.,8,7
Mary thought that no authors that the critics recommended had ever written a best-selling novel.,10,3
John believed that no painters that the critics liked had ever created beautiful art.,10,3
Jennifer knew that no ambassadors that the diplomats consulted had ever seen the brutality of war.,10,3
Mark expected that no babysitters that the children disobeyed had ever requested a tip.,10,3
Elizabeth reckoned that no customers that the salesmen assisted had ever complained to the manager.,10,3
Kimberly felt that no actresses that the directors favored had ever demonstrated true talent.,10,3
James thought that no athletes that the competitors defeated had ever shown good sportsmanship.,10,3
Anthony believed that no lawyers that the businessmen hired had ever fabricated evidence.,10,3
Brian knew that no students that the teachers punished had ever caused a disruption.,10,3
 Karen expected that no employees that the managers promoted had ever publicly ridiculed the company.,10,3
 Nancy reckoned that no accountants that the clients criticized had ever mismanaged funds.,10,3
 Steven felt that no teachers that the parents appreciated had ever caused problems.,10,3
 Susan thought that no students that the librarians helped had ever completed the difficult assignment.,10,3
 Jessica believed that no nurses that the doctors recommended had ever neglected the patients.,10,3
 Margaret knew that no candidates that the voters supported had ever proposed radical policies.,10,3
 Michael expected that no teachers that the teenagers admired had ever imposed strict classroom rules.,10,3
 Christopher reckoned that no politicians that the journalists endorsed had ever earned rural voters’ trust.,10,3
 Sarah felt that no criminals that the policemen caught had ever deserved prison time.,10,3
 Richard thought that no surgeons that the patients consulted had ever suggested unnecessary operations.,10,3
 Joseph believed that no suspects that the witnesses identified had ever evaded questioning.,10,3
